Gryoscope_X,Gryoscope_Y,Gryoscope_Z
-1.56791784,-0.56927027,0.533781214
-1.611670153,-0.548587875,0.420436038
-1.616035001,-0.464600311,0.259062333
-1.603011863,-0.318329917,0.112198575
-1.581198232,-0.107165733,0.048306411
-1.588664071,0.099977864,0.065998858
-1.611508744,0.228421061,0.096534131
-1.625421898,0.30052854,0.122488765
-1.607981937,0.282057924,0.099267593
-1.5505953,0.224259867,0.002115747
-1.483202116,0.175689934,-0.117968047
-1.412640946,0.178552298,-0.224022852
-1.350153582,0.298736228,-0.270220445
-1.321447627,0.482961727,-0.255493687
-1.30985357,0.74081908,-0.194307299
-1.287836926,0.959679289,-0.160597266
-1.238959448,1.05413018,-0.187062161
-1.156673567,1.053614004,-0.24507487
-1.05336179,1.002213461,-0.302386628
-0.942215876,0.970673604,-0.324768113
-0.845132487,0.969761713,-0.280462967
-0.756042557,1.009052975,-0.153338032
-0.630786614,1.044898255,0.001047553
-0.451355593,1.03860019,0.172488554
-0.237402828,1.023207171,0.330247296
-0.032990841,1.028255923,0.451381965
0.156258984,1.047032817,0.517749829
0.332099511,1.065569742,0.546012087
0.528218432,1.020439847,0.55433975
0.747151835,0.911049409,0.544863446
0.976615889,0.796179576,0.49572332
1.190566762,0.71916358,0.380943759
1.363188369,0.799884005,0.171450449
1.487850411,1.023090704,-0.114849755
1.550615771,1.305614574,-0.447938489
1.564062698,1.574376209,-0.789872126
1.532953484,1.768725259,-1.087492125
1.490748508,1.846146209,-1.285990493
1.470272524,1.846275194,-1.397288577
1.466795189,1.750081761,-1.433256643
1.451549394,1.558733089,-1.398157256
1.412317617,1.346694691,-1.303479807
1.349886758,1.124700172,-1.1723087
1.286001189,0.915650292,-1.029630916
1.234970791,0.698942764,-0.89107223
1.196517689,0.464210941,-0.752987342
1.171857102,0.250966324,-0.601954715
1.13675843,0.030213161,-0.446364032
1.07105027,-0.254261451,-0.289637821
0.967519863,-0.544592338,-0.167057292
0.828968687,-0.780222969,-0.094461659
0.652693493,-0.992571728,-0.088235454
0.438342048,-1.151485698,-0.147881748
0.185865877,-1.187861578,-0.252800422
-0.111636916,-1.096799629,-0.394553827
-0.448690044,-0.944295781,-0.531553762
-0.76915379,-0.806927578,-0.646917896
-1.036999123,-0.7278948,-0.714227693
-1.222611802,-0.742721395,-0.693584995
-1.3064207,-0.844786005,-0.595974581
-1.271799939,-1.00187041,-0.487210261
