class_name,Acceleration_X,Acceleration_Y,Acceleration_Z,Gryoscope_X,Gryoscope_Y,Gryoscope_Z
,-1.388793945,-0.91267395,-0.51385498,1.861760497,1.094244957,0.972133696
,-1.357543945,-0.844726563,-0.423416138,1.858729005,0.989722788,0.619160473
,-1.284469604,-0.755386353,-0.350830078,1.820419431,0.801440239,0.227349535
,-1.21546936,-0.685653687,-0.272918701,1.823526859,0.54373306,-0.084183849
,-1.154983521,-0.634368896,-0.191360474,1.886650205,0.2127911,-0.263760269
,-1.105682373,-0.594985962,-0.088043213,2.01911974,-0.128848523,-0.31792444
,-1.054550171,-0.555496216,0.004226685,2.115108013,-0.375124604,-0.309053451
,-1.014083862,-0.526947021,0.102264404,2.122877598,-0.46578154,-0.273819566
,-0.963546753,-0.503387451,0.19732666,2.021616936,-0.379264235,-0.2596955
,-0.905670166,-0.47064209,0.263092041,1.827828884,-0.221314281,-0.266312391
,-0.836166382,-0.43196106,0.31010437,1.561636329,-0.076212212,-0.273244858
,-0.774459839,-0.39956665,0.339279175,1.25854063,-0.016732907,-0.2469749
,-0.715362549,-0.343887329,0.348953247,0.949673116,-0.064732127,-0.18899256
,-0.651412964,-0.263366699,0.347549438,0.696476281,-0.219679102,-0.111216269
,-0.595840454,-0.195724487,0.350189209,0.514915526,-0.485137403,0.016335297
,-0.553237915,-0.178192139,0.354904175,0.409161955,-0.737338245,0.194887996
,-0.519195557,-0.169403076,0.366928101,0.340645462,-0.884137511,0.385665923
,-0.501754761,-0.168685913,0.379241943,0.289543122,-0.888698161,0.574939966
,-0.50730896,-0.181671143,0.38973999,0.199552521,-0.737938523,0.772556901
,-0.503890991,-0.194534302,0.38168335,0.023648605,-0.493382812,0.929899693
,-0.496810913,-0.220306396,0.359436035,-0.19560492,-0.278977573,1.060125589
,-0.497467041,-0.235839844,0.340362549,-0.408598423,-0.156351522,1.186937094
,-0.494735718,-0.243774414,0.315750122,-0.608732045,-0.159440786,1.316668987
,-0.492401123,-0.26461792,0.284088135,-0.790786505,-0.294912875,1.456181884
,-0.503677368,-0.295639038,0.246841431,-0.9601897,-0.467417002,1.602828264
,-0.525817871,-0.323150635,0.227081299,-1.08364737,-0.59052825,1.730065107
